Model,train_neg_root_mean_squared_error,test_neg_root_mean_squared_error,train_neg_mean_absolute_error,test_neg_mean_absolute_error,train_r2,test_r2
Linear,11.833336,19.543591,9.320342,14.121774,0.333812,-1.005137
Ridge,13.328486,14.258474,10.983499,11.769023,0.160176,-0.061957
Lasso,14.314522,14.550658,11.92757,12.300845,0.028688,-0.097683
ElasticNet,13.401012,13.802208,11.153471,11.658108,0.149531,-0.010765
SVR,14.576731,15.098702,12.008715,12.845735,-0.005067,-0.199124
DecisionTree,11.784031,16.470108,9.480588,13.573885,0.337339,-0.39859
RandomForest,10.526822,15.175099,8.62106,12.587504,0.474334,-0.260527
GradientBoosting,12.758654,14.433108,10.7107,12.10701,0.229167,-0.120028
XGBoost,13.142572,14.457074,10.947552,12.09726,0.182517,-0.111949
LightGBM,13.804014,15.272527,11.342543,13.01934,0.098793,-0.232187
